Updated at 17:45:55;Constituent Name;Constituent RIC;NCAIS;ESG_Grade_01/01/2021;ESG_Grade_01/01/2022;ESG_Grade_01/01/2023;ESG_Grade_01/01/2024;ESG_Score_01/01/2021;ESG_Score_01/01/2022;ESG_Score_01/01/2023;ESG_Score_01/01/2024;Social_Score_01/01/2021;Social_Score_01/01/2022;Social_Score_01/01/2023;Social_Score_01/01/2024;Governance_Score_01/01/2021;Governance_Score_01/01/2022;Governance_Score_01/01/2023;Governance_Score_01/01/2024;Environment_Score_01/01/2021;Environment_Score_01/01/2022;Environment_Score_01/01/2023;Environment_Score_01/01/2024;Controversies_Score_01/01/2021;Controversies_Score_01/01/2022;Controversies_Score_01/01/2023;Controversies_Score_01/01/2024
.SPX;NORFOLK SOUTHERN ORD;NSC.N;48-49;B;B;B;B;66,01427662;64,67839181;64,04874706;64,44478648;53,36659125;53,20253586;51,75771813;53,57855489;75,22223526;70,94599706;68,59485008;68,69419329;72,0426369;71,8875647;73,57560923;72,67536504;84,375;66,66666667;100;1,851851852
.SPX;NETAPP ORD;NTAP.OQ;31-33;B-;B;B+;B+;56,56810344;65,7821485;66,85564901;66,69459314;52,43286312;60,96073591;59,8881829;61,03804691;71,25687309;82,44957737;86,7851584;86,637794;47,79099413;56,09905681;57,85061523;54,86776106;100;100;100;79,16666667
.SPX;NORTHERN TRUST ORD;NTRS.OQ;52;B;B;B+;B+;60,85371324;66,44172015;72,54034638;72,54034638;80,04711979;79,45963878;82,34456464;82,34456464;48,74318748;56,58885605;63,03430926;63,03430926;47,19624732;62,64157025;76,63007798;76,63007798;100;100;100;100
.SPX;NUCOR ORD;NUE.N;31-33;B-;B-;B-;B-;54,26938906;55,26857761;54,86560184;54,86560184;59,18682553;64,56755621;66,30641176;66,30641176;47,44558646;57,14794453;34,97899672;34,97899672;53,40753134;43,32483834;55,65843129;55,65843129;100;100;100;100
.SPX;NVIDIA ORD;NVDA.OQ;31-33;B+;A-;A-;A-;74,22727263;78,78596342;76,97716952;75,45938834;66,00540149;82,27361016;79,78893639;73,45476267;88,66248237;83,10638931;80,47602359;88,34080772;73,50300401;70,39009424;70,19527834;67,48123251;100;21,42857143;80;15
.SPX;NVR ORD;NVR.N;23;C;C-;C-;C-;33,34989504;29,58071587;29,61223971;29,61223971;21,91567168;20,21012169;19,60020359;19,60020359;80,56126562;73,62130405;75,93717768;75,93717768;10,8131612;6,9961077;6,043459151;6,043459151;100;100;100;100
.SPX;NEWS CORP B;NWS.OQ;51;C+;C+;B-;B+;49,75214803;49,20125068;57,73246951;68,34186226;33,86036638;34,99522211;44,73756148;58,26274196;68,67473718;64,70677146;73,34100151;80,70939656;55,75691807;58,79850119;62,23676025;71,05178457;39,13043478;63,88888889;13,46153846;11,25
.SPX;NEWS ORD SHS CL A;NWSA.OQ;51;C+;C+;B-;B+;49,75214803;49,20125068;57,73246951;68,34186226;33,86036638;34,99522211;44,73756148;58,26274196;68,67473718;64,70677146;73,34100151;80,70939656;55,75691807;58,79850119;62,23676025;71,05178457;39,13043478;63,88888889;13,46153846;11,25
.SPX;NXP SEMICONDUCTORS ORD;NXPI.OQ;31-33;A-;A-;A-;A-;78,14744111;78,0117016;79,01339599;79,01339599;80,88895438;78,20686886;79,52111928;79,52111928;82,54091301;85,92948718;89,81074481;89,81074481;70,71663379;71,14519198;69,31748578;69,31748578;100;100;82,5;82,5
.SPX;REALTY INCOME REIT ORD;O.N;53;A-;A;A-;A-;76,49279629;83,71030424;80,9224283;80,9224283;66,29117283;74,14224101;62,04187586;62,04187586;74,03800973;80,24019665;85,9525283;85,9525283;86,80677699;94,38469496;91,80526335;91,80526335;100;100;100;100
.SPX;OLD DOMINION ORD;ODFL.OQ;48-49;C;C;C;C;38,73908684;35,79420039;36,28717418;36,28717418;40,5438982;39,70029957;38,53039317;38,53039317;40,78295042;32,08032361;32,88349072;32,88349072;35,08065487;34,65749026;36,69342315;36,69342315;100;100;74,07407407;74,07407407
.SPX;ONEOK ORD;OKE.N;21;B+;B;B+;B+;68,88369064;61,46272477;69,36547725;69,36547725;65,10703572;69,95816528;68,8124213;68,8124213;68,73315271;39,01042406;71,66331793;71,66331793;73,61664533;70,35120742;68,07010105;68,07010105;100;100;100;100
.SPX;OMNICOM ORD;OMC.N;54;B+;B+;B+;B+;66,70449472;70,747745;68,89020107;68,89020107;56,94631083;72,01500825;68,02143972;68,02143972;84,87428521;74,86684864;73,56905767;73,56905767;50,73994957;53,38474426;58,28523862;58,28523862;100;100;100;100
.SPX;ON SEMICONDUCTOR ORD;ON.OQ;31-33;B+;B+;B+;B+;70,86422045;73,71601235;69,12284177;69,12284177;84,26824765;83,38632397;79,72162138;79,72162138;64,85761843;82,88297914;71,43962226;71,43962226;57,43918475;52,78019486;52,61886941;52,61886941;100;100;7,5;7,5
.SPX;ORACLE SYS ORD;ORCL.N;51;B-;B-;B-;C+;51,97115707;53,06366908;51,22549815;48,33881484;76,87182941;75,19072849;76,87182485;74,84973436;22,64135224;26,56403641;21,2905344;16,65501306;78,26302108;77,88292225;77,39425439;77,85532958;33,67346939;100;76,31578947;49,62121212
