Name Tag Score Industry
Halliburton HAL 63 "OIE Energy Equipment & Services"
Hasbro HAS 42 "LEG Leisure Equipment & Products and Consumer Electronics"
"Huntington Bancshares" HBAN 48 "BNK Banks"
"Hca Healthcare" HCA 27 "HEA Health Care Providers & Services"
"Home Depot" HD 36 "RTS Retailing"
Hess HES 66 "OGX Oil & Gas Upstream & Integrated"
"Hartford Financial Svcs Grp" HIG NA NA
"Huntington Ingalls Industrie" HII 31 "ARO Aerospace & Defense"
"Hilton Worldwide Holdings In" HLT 64 "TRT Hotels, Resorts & Cruise Lines"
Hologic HOLX 48 "MTC Health Care Equipment & Supplies"
"Honeywell International" HON 44 "IDD Industrial Conglomerates"
"Hewlett Packard Enterprise" HPE 77 "THQ Computers & Peripherals and Office Electronics"
Hp HPQ 30 "MNX Metals & Mining"
"Hormel Foods" HRL 35 "FOA Food Products"
"Henry Schein" HSIC 36 "HEA Health Care Providers & Services"
"Host Hotels & Resorts" HST 67 "REI Equity Real Estate Investment Trusts (REITs)"
Hershey HSY 61 "FOA Food Products"
Humana HUM NA NA
"Howmet Aerospace" HWM 51 "ARO Aerospace & Defense"
"Intl Business Machines" IBM NA NA
"Intercontinental Exchange In" ICE NA NA
"Idexx Laboratories" IDXX 38 "MTC Health Care Equipment & Supplies"
Idex IEX NA NA
"Intl Flavors & Fragrances" IFF NA NA
Illumina ILMN 59 "LIF Life Sciences Tools & Services"
Incyte INCY 41 "BTC Biotechnology"
Intel INTC NA NA
Intuit INTU 45 "SOF Software"
"Invitation Homes" INVH 18 "REI Equity Real Estate Investment Trusts (REITs)"
"International Paper" IP 34 "CTR Containers & Packaging"
"Interpublic Group of Cos" IPG NA NA
"Iqvia Holdings" IQV 39 "LIF Life Sciences Tools & Services"
"Ingersoll Rand" IR 81 "IEQ Machinery and Electrical Equipment"
"Iron Mountain" IRM 55 "REI Equity Real Estate Investment Trusts (REITs)"
"Intuitive Surgical" ISRG 34 "MTC Health Care Equipment & Supplies"
Gartner IT 40 "TSV IT services"
"Illinois Tool Works" ITW 38 "IEQ Machinery and Electrical Equipment"
Invesco IVZ 37 "FBN Diversified Financial Services and Capital Markets"
"Jacobs Solutions" J 72 "PRO Professional Services"
"Hunt (Jb) Transprt Svcs" JBHT NA NA
"Johnson Controls Internation" JCI 69 "BLD Building Products"
"Jack Henry & Associates" JKHY 34 "FBN Diversified Financial Services and Capital Markets"
"Johnson & Johnson" JNJ NA NA
"Juniper Networks" JNPR 43 "CMT Communications Equipment"
"Jpmorgan Chase &" JPM 32 "BNK Banks"
Kellogg K NA NA
"Keurig Dr Pepper" KDP 43 "BVG Beverages"
