legalentityidentifier;obligorname
549300O45IUXEDS1VZ32;Connecticut Light & Power Co.
SJ7XXD41SQU3ZNWUJ746;Eversource Energy
54930080R72Y2Z31UR68;NSTAR Electric Co.
5493007DQBDL12FEDK63;NSTAR Gas Co.
549300SHPFALUPKK2351;Public Service Co. of New Hhire
5493003IAYN5YDLS1728;Western Massachusetts Electric Co.
549300YGRJZJKXSMLV21;Yankee Gas Services Co
5IDHQUFVC8Q2KIBBFF06;American Water Capital Corp.
549300DXHIJQMD5WFW18;American Water Works Co. Inc.
300300SY4K5GYM6MIR88;Beijing State-Owned Assets Management Co. Ltd.
5493000KYXM5UD8IRI36;Ervia
5493002BPCYCMAXG9N95;Apoteket AB
549300512MQVIWLOO713;Catamaran Corp
PH5ZFDENRYXEVLP50443;Johnson (S.C.) & Son Inc.
54930043FTE0M50CGG56;Gas Networks Ireland
S4BKK9OTCEWQ3YHPFM11;Danaher Corp.
FWZ0S7MV0RY2YFK8HG09;Pall Corp.
5493007QZDXTP1W2VL44;Hydro One Limited
353800TNNZOQ1CPZE086;Nomura Real Estate Master Fund, Inc.
529900608W58250G7S08;Dongfeng Motor Group Company Limited
300300CWW8WOEV3BR645;China State Construction Engineering Corporation Limited
353800FKNOC1V6FE8T28;Shizuoka Gas Co. Ltd.
PY6ZZQWO2IZFZC3IOL08;AstraZeneca PLC
549300DHPOF90OYYD780;Bridgestone Corp.
549300WTZWR07K8MNV44;Gilead Sciences, Inc.
549300C116EOWV835768;BHP Group PLC
43Y7WACCQ8YM30PD3683;Shell Energy North America (US) L.P.
549300QLDB6NIVNOYC65;AltaLink Investments L.P.
549300FMC7ABSCYLX778;AltaLink L.P.
549300JD0S5IZJE9LY15;Berkshire Hathaway Energy Company
NINLOILYRTLIMK26MZ18;MidAmerican Energy Co.
MJZFGXRJ52U8U4MKJ519;Nevada Power Co.
213800L7HZMXLTISFT69;Northern Electric PLC
21380072EMKFDZSTLD28;Northern Powergrid (Northeast) PLC
213800VZL2QT3Q7NOP46;Northern Powergrid (Yorkshire) PLC
2138009J99K1RG6E5925;Northern Powergrid Holdings Co.
549300WSWTEW6DURBO45;NV Energy Inc.
SGY07Y7FNYBNLM6Z1M11;PacifiCorp
QB888G5GSVGE1LD1WV84;Sierra Pacific Power Co.
549300QNQWZO11QZZ529;Statoil Forsikring A.S
529900PM64WH8AF1E917;BASF SE
254900JN62P3FMEBPZ68;Mitsui & Co. (Australia) Ltd.
L12DDBYMZIFS8F833276;Mitsui & Co. (USA) Inc.
2NRSB4GOU9DD6CNW5R48;Mitsui & Co., Ltd.
KVIPTY4PULAPGC1VVD26;Mitsubishi Corp.
213800OSGA6CJFZG6C32;Mitsubishi Corp. Finance PLC
ODK4BXEBUFQMZUHQLM70;Mitsubishi International Corp.
549300TCAVDGRPDHPP74;Physio-Control International, Inc.
5493002F0SC4JTBU5137;Stryker Corp.
549300S33SIOUGV2VM26;Sage Products Holdings III, LLC
549300SW9ZVCAW2QHF98;General Property Trust
QVLWEGTD2S8GJMO8D383;Atmos Energy Corp.
549300X3UK4GG3FNMO06;Electricite de France S.A.
5299001GRRO0Z25YZT52;Knorr-Bremse AG
353800ND4ZKNZDYKMF33;Mitsui Fudosan Co. Ltd.
549300UYFI41EIQ10304;Shell Oil Co.
213800EDPV6T4K835K83;Shell Petroleum Co., Ltd.
213800U43H56YKOIF596;Shell Petroleum N.V.
21380068P1DRHMJ8KU70;Shell plc
549300WGW4LZEHEQNF02;Intelligrated Inc.
Z88M4EWU0NI3QVOOIZ80;Wrigley (Wm.) Jr. Company
8YAK2VWYCZ8B120UOU20;Daimler North America Corp.
529900R27DL06UVNT076;Mercedes-Benz Group AG
OQSJ1DU9TAOC51A47K68;Starbucks Corp.
5493006QKLIH7XVP2K64;Societe Nationale des Chemins de Fer Belges
549300I8CNSYS1OGX775;TTX Co.
549300S7GOEVR0EGFN47;Vicinity Centres
5493008DXEYO6JTJEB46;Alectra Inc.
DL22T1SB4DUBS063O841;Washington Gas Light Co.
549300FMXG4FL88R7K50;WGL Holdings Inc.
969500JRJW0K2ET1UP76;RTE Reseau de Transport d Electricite
FU4LY2G4933NH2E1CP29;Adobe Inc.
H1J8DDZKZP6H7RWC0H53;Qualcomm Incorporated
213800QX2L9L8MLTSS62;Compass Group International B.V.
25490002BUTSMP94GO68;CLP Holdings Ltd.
5299006GJZSGP78B8S35;CK Asset Holdings Limited
2549004ZFLZHK3QT6D40;Nissan Financial Services Australia Pty. Ltd.
7D6DIU2QXTUJRFNNJA49;Nissan Motor Acceptance Company LLC
353800DRBDH1LUTNAY26;Nissan Motor Co. Ltd.
549300QV6SE8ZLTNWJ75;Nissan North America Inc.
254900UFL8O8QUMB4U54;Shanghai International Port Group (HK) Co., Limited
549300HXDWI0LATTX840;ONE Gas, Inc.
529900F2GBRPYPZFX003;Jernhusen AB
300300JVKW56SSAEQZ33;Anhui Conch Cement Company Limited
300300AY5BEBCYDR2F31;China National Offshore Oil Corp.
300300C5000911000055;CNOOC Finance Corp. Ltd.
549300XIVJCBIGMRUD48;CNOOC Ltd.
3003002NJ625UNILOU94;CNPC Finance (HK) Limited
5299007GRIKP15GM4927;Kunlun Energy Company Limited
300300E5666CNTYEEF86;State Development & Investment Corp.
894500PPZOND7C14KX69;State Grid International Development Limited
3C7474T6CDKPR9K6YT90;General Electric Co.
2138007ZSQ7B17SKOX77;Rio Tinto Alcan Inc.
213800HV93CKHDNCH948;Rio Tinto America Inc.
2138004MG82FY7I6RD42;Rio Tinto Canada Inc.
529900X2VMAQT2PE0V24;Rio Tinto Ltd.
213800YOEO5OQ72G2R82;Rio Tinto PLC
549300SP2X2BS1KERD24;Oncor Electric Delivery Co. LLC
549300LQ6K2ED6X72X66;Westfield Corporation Ltd.
875500I0GGCIJKVIB444;WFD Trust
5493008AAX0BESN9WN06;bpost SA/NV
J48DJYXDTLHM30UMYI18;ITOCHU Corp.
213800YZZX39WY5G7M06;Compass Group Finance Netherlands B.V.
213800UXXZJKOHL6S818;Hitachi International (Holland) B.V.
549300CGU7TX0W29IM37;Hitachi International Treasury Ltd.
549300T6IPOCDWLKC615;Hitachi, Ltd.
300300DDK158VYVJ7B73;Shenzhen Investment Holdings Company Limited
5299005F1HCVF4M4QN79;Nomura Research Institute Ltd.
254900Z8HM1VEPOQ2G79;CK Hutchison Holdings Limited
5299005U11RQ1C27MR12;CK Infrastructure Holdings Limited
254900JOWYUW1ZX4DF47;Power Assets Holdings Limited
7245002R31EKBDW59H93;Unibail-Rodamco-Westfield N.V.
549300M3VH1A3ER1TB49;EssilorLuxottica
549300I1NMOBS4B1LT88;Luxottica Group SpA
549300ZNLJL43AQTG067;IBM Credit LLC
VGRQXHF3J8VDLUA7XE92;International Business Machines Corp.
30030036R4MYD8C7OU44;Guangdong Hengjian Investment Holding Co. Ltd.
300300HV00GRAGYK4217;China FAW Group Co., Ltd
549300Z6X8Q2DWUW1V74;Entegrus Powerlines Inc.
B6Q2VFHD1797Q7NZ3E43;American Honda Finance Corp.
549300K5H14MP7CO9857;Honda Canada Finance Inc.
549300P7ZYCQJ36CCS16;Honda Motor Co. Ltd.
88V8C2WYSOD1SPSSLH72;Baltimore Gas & Electric Co.
8945002PAZHZLBGKGF02;Linde PLC
8RS0AKOLN987042F2V04;21st Century Fox America, Inc.
5493006FBVCBN6H1JG79;Twenty-First Century Fox Inc.
549300GZKULIZ0WOW665;Walt Disney Company (The)
54930073HKEO6GZBSS03;Mars Inc.
254900P7BETXGC7YU827;The Hong Kong and China Gas Company Ltd.
254900PG0ZMNII4FRG65;CDB Aviation Lease Finance Designated Activity Company
529900P4JZBFEVNEAE60;EVN AG
549300W1ISP1PW2J2P64;Autoridad del Canal de Panama
RCGZFPDMRW58VJ54VR07;Salesforce.com Inc.
549300VRGQACQGITMW13;QIC Property Fund
549300PNSLJN4LMXCB34;Central Maine Power Co.
1128SIJQ26096WL7IO82;Evergy Metro, Inc.
1VWDHRIRERCQ5D5M5681;Harman International Industries Inc.
D01LMJZU09ULLNCY6Z23;United Parcel Service Inc.
1T2XGWDXQ30WC74GIJ96;United Parcel Service of America Inc.
353800R2LRSMVVC4I806;Recruit Holdings Co.,Ltd.
549300D8AVGZ5P5HWU88;National Railroad Passenger Corp. (AMTRAK)
549300H5GUKWH3CAB355;Nicor Gas Co.
529900MUHCX60Q4RYE54;Wien Energie GmbH
5493006QY0E0EST2ZX08;Versum Materials, Inc.
635400HRFGVKXFHZ8O77;daa PLC
5299006UDSEJCTTEJS30;Verbund AG
A89MY1K3YLIGJMYWVX50;Florida Power & Light Co.
969500X711HT6Q60P382;in'li
549300ILTEOF3E3QY357;Essential Utilities, Inc.
549300I05UDK72UDVW21;PNG Companies LLC
2549003XJKIQO8YDYD89;Singapore Telecommunications Ltd.
P2PV5Z2Z2UKRY3P3V155;Cameron International Corporation
529900IKZG65COT1D505;Schlumberger Holdings Corp.
5493000HZTVUYLO1D793;GlaxoSmithKline PLC
3538004IOK08PDY6I723;Aisin Corporation
529900O015GLGIMHV534;Wiener Stadtwerke GmbH
5967007LIEEXZX8ZW078;Avinor AS
529900JH1GSC035SSP77;Canon Inc.
213800XTZK2GOHQTYK41;Tencent Music Entertainment Group
529900F0LT5OP4SV6122;Robert Bosch GmbH
724500TXS5HH3GY4UW42;NS Groep N.V.
549300BFOD6TDMVV4O24;Eastern Energy Gas Holdings, LLC
HQD377W2YR662HK5JX27;Abbott Laboratories
353800VHQU5VIXVUA841;Nippon Telegraph and Telephone Corp.
353800TVPXCGWDZIIU09;NTT DOCOMO, INC.
3538007PR116187GD960;NTT Finance Corporation
SYHS7HRDXLL4I0IQ8776;Concho Resources Inc.
529900L2VNLKD4UQS449;Omnium Reinsurance Co. SA
635400D9M4MSMFAZ8A48;Pan Insurance DAC
529900OOXML0YNVAU562;TotalEnergies Holdings SAS
529900S21EQ1BO4ESM68;TotalEnergies SE
959800T4M5QUPYMSCH69;Empresa de Transporte de Pasajeros Metro S.A.
549300K23JPL0SS3LB18;7-Eleven, Inc.
52990037G8JRM3TWGY86;Seven & i Holdings Co., Ltd.
213800YCEK6U45JCLH18;British Gas Trading Ltd.
9845002055U77FF6B972;MISC Berhad
52990000AKKX75BMWB43;Scania AB (publ.)
549300B6HWYEE57O8J84;SKF, AB
549300KZOZHII0DGF611;Swire Pacific Ltd.
E26EDV109X6EEPBKVH76;Centrica PLC
H1FJE8H61JGM1JSGM897;Koninklijke Philips N.V.
3E70L4WYANTIWWIPHC81;Dell Inc.
969500MCOONR8990S771;Orange S.A.
969500MOCLNQFNZN0D63;Bouygues S.A.
3S1GHB0TEH85KX44SB51;Northern States Power Co.
OOVRSRHKQSBLKRB7QM17;Northern States Power Wisconsin
5BANEF6PGSEK0SNMQF44;Public Service Co. of Colorado
